"id","kode_provinsi","nama_provinsi","kode_kabupaten_kota","nama_kabupaten_kota","tahun","jumlah","satuan"
"1889","1","BANTEN","751","Kabupaten Padeglang","2015","0","Orang"
"1890","1","BANTEN","752","Kabupaten Lebak","2015","0","Orang"
"1891","1","BANTEN","753","Kabupaten Tangerang","2015","0","Orang"
"1892","1","BANTEN","754","Kabupaten Serang","2015","0","Orang"
"1893","1","BANTEN","755","Kota Tangerang","2015","0","Orang"
"1894","1","BANTEN","756","Kota Cilegon","2015","0","Orang"
"1895","1","BANTEN","757","Kota Serang","2015","584","Orang"
"1896","1","BANTEN","758","Kota Tangerang Selatan","2015","0","Orang"
"2491","1","BANTEN","751","Kabupaten Padeglang","2016","0","Orang"
"2492","1","BANTEN","752","Kabupaten Lebak","2016","0","Orang"
"2493","1","BANTEN","753","Kabupaten Tangerang","2016","0","Orang"
"2494","1","BANTEN","754","Kabupaten Serang","2016","0","Orang"
"2495","1","BANTEN","755","Kota Tangerang","2016","0","Orang"
"2496","1","BANTEN","756","Kota Cilegon","2016","0","Orang"
"2497","1","BANTEN","757","Kota Serang","2016","478","Orang"
"2498","1","BANTEN","758","Kota Tangerang Selatan","2016","0","Orang"
"3093","1","BANTEN","751","Kabupaten Padeglang","2017","0","Orang"
"3094","1","BANTEN","752","Kabupaten Lebak","2017","0","Orang"
"3095","1","BANTEN","753","Kabupaten Tangerang","2017","0","Orang"
"3096","1","BANTEN","754","Kabupaten Serang","2017","0","Orang"
"3097","1","BANTEN","755","Kota Tangerang","2017","0","Orang"
"3098","1","BANTEN","756","Kota Cilegon","2017","996","Orang"
"3099","1","BANTEN","757","Kota Serang","2017","612","Orang"
"3100","1","BANTEN","758","Kota Tangerang Selatan","2017","0","Orang"
"3695","1","BANTEN","751","Kabupaten Padeglang","2018","0","Orang"
"3696","1","BANTEN","752","Kabupaten Lebak","2018","1947","Orang"
"3697","1","BANTEN","753","Kabupaten Tangerang","2018","4904","Orang"
"3698","1","BANTEN","754","Kabupaten Serang","2018","5308","Orang"
"3699","1","BANTEN","755","Kota Tangerang","2018","4419","Orang"
"3700","1","BANTEN","756","Kota Cilegon","2018","801","Orang"
"3701","1","BANTEN","757","Kota Serang","2018","642","Orang"
"3702","1","BANTEN","758","Kota Tangerang Selatan","2018","2431","Orang"
"4297","1","BANTEN","751","Kabupaten Padeglang","2019","819","Orang"
"4298","1","BANTEN","752","Kabupaten Lebak","2019","1947","Orang"
"4299","1","BANTEN","753","Kabupaten Tangerang","2019","8212","Orang"
"4300","1","BANTEN","754","Kabupaten Serang","2019","4993","Orang"
"4301","1","BANTEN","755","Kota Tangerang","2019","1381","Orang"
"4302","1","BANTEN","756","Kota Cilegon","2019","920","Orang"
"4303","1","BANTEN","757","Kota Serang","2019","624","Orang"
"4304","1","BANTEN","758","Kota Tangerang Selatan","2019","1344","Orang"
"4899","1","BANTEN","751","Kabupaten Padeglang","2020","651","Orang"
"4900","1","BANTEN","752","Kabupaten Lebak","2020","18499","Orang"
"4901","1","BANTEN","753","Kabupaten Tangerang","2020","9652","Orang"
"4902","1","BANTEN","754","Kabupaten Serang","2020","4536","Orang"
"4903","1","BANTEN","755","Kota Tangerang","2020","4381","Orang"
"4904","1","BANTEN","756","Kota Cilegon","2020","1085","Orang"
"4905","1","BANTEN","757","Kota Serang","2020","848","Orang"
"4906","1","BANTEN","758","Kota Tangerang Selatan","2020","1254","Orang"